date,segment,channel,required_productive_h,required_fte,required_fte_p90,grade
2026-08-19,SOUTH,chat,94.54,15.19,17.49,E
2026-08-19,SOUTH,email,31.8,5.11,5.88,E
2026-08-19,SOUTH,voice,138.7,22.28,25.65,E
2026-08-20,NORTH,chat,95.03,15.27,17.58,E
2026-08-20,NORTH,email,34.02,5.47,6.3,E
2026-08-20,NORTH,voice,198.65,31.91,36.73,E
2026-08-20,SOUTH,chat,83.93,13.48,15.52,E
2026-08-20,SOUTH,email,30.69,4.93,5.68,E
2026-08-20,SOUTH,voice,128.55,20.65,23.77,E
2026-08-21,NORTH,chat,93.44,15.01,17.28,E
2026-08-21,NORTH,email,34.11,5.48,6.31,E
2026-08-21,NORTH,voice,188.39,30.26,34.83,E
2026-08-21,SOUTH,chat,82.99,13.33,15.34,E
2026-08-21,SOUTH,email,31.06,4.99,5.74,E
2026-08-21,SOUTH,voice,124.86,20.06,23.09,E
2026-08-22,NORTH,chat,53.18,8.54,9.83,E
2026-08-22,NORTH,email,13.41,2.15,2.47,E
2026-08-22,NORTH,voice,101.36,16.28,18.74,E
2026-08-22,SOUTH,chat,51.82,8.32,9.58,E
2026-08-22,SOUTH,email,13.59,2.18,2.51,E
2026-08-22,SOUTH,voice,73.93,11.88,13.68,E
2026-08-23,NORTH,chat,37.99,6.1,7.02,E
2026-08-23,NORTH,email,7.77,1.25,1.44,E
2026-08-23,NORTH,voice,67.98,10.92,12.57,E
2026-08-23,SOUTH,chat,37.01,5.95,6.85,E
2026-08-23,SOUTH,email,7.49,1.2,1.38,E
2026-08-23,SOUTH,voice,46.32,7.44,8.56,E
